Input,Approved name
STT3A,STT3 oligosaccharyltransferase complex catalytic subunit A
TNRC6B,trinucleotide repeat containing adaptor 6B
API5,apoptosis inhibitor 5
EEA1,early endosome antigen 1
AP3S1,adaptor related protein complex 3 subunit sigma 1
UBE2L6,ubiquitin conjugating enzyme E2 L6
OPTN,optineurin
PARD6B,par-6 family cell polarity regulator beta
MAGED2,MAGE family member D2
BCL7B,BAF chromatin remodeling complex subunit BCL7B
HOMER3,homer scaffold protein 3
RGS2,regulator of G protein signaling 2
UNK,unk zinc finger
NRDC,nardilysin convertase
CDC37,cell division cycle 37
SNTB2,syntrophin beta 2
MASP1,mannan binding lectin serine peptidase 1
FANCG,FA complementation group G
DDIT3,DNA damage inducible transcript 3
HKDC1,hexokinase domain containing 1
PHF5A,PHD finger protein 5A
TAF1B,"TATA-box binding protein associated factor, RNA polymerase I subunit B"
MIR16-1,microRNA 16-1
PRMT5,protein arginine methyltransferase 5
ACOT7,acyl-CoA thioesterase 7
VPS13A,vacuolar protein sorting 13 homolog A
DOCK7,dedicator of cytokinesis 7
BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B
HTATSF1,HIV-1 Tat specific factor 1
ZNF101,zinc finger protein 101
SACM1L,SAC1 like phosphatidylinositide phosphatase
TSN,translin
CCDC106,coiled-coil domain containing 106
FBN2,fibrillin 2
TRIM54,tripartite motif containing 54
PRNP,prion protein
CHD7,chromodomain helicase DNA binding protein 7
SLC25A12,solute carrier family 25 member 12
FAM186A,family with sequence similarity 186 member A
PAGE3,PAGE family member 3
OGT,O-linked N-acetylglucosamine (GlcNAc) transferase
GPR37,G protein-coupled receptor 37
REPS1,RALBP1 associated Eps domain containing 1
PDE1A,phosphodiesterase 1A
BCL11A,BAF chromatin remodeling complex subunit BCL11A
CDH3,cadherin 3
MYCBP,MYC binding protein
SNRPD2,small nuclear ribonucleoprotein D2 polypeptide
KRT6A,keratin 6A
TP53RK,TP53 regulating kinase
BCL2L11,BCL2 like 11
ARFGEF3,ARFGEF family member 3
FKBP2,FKBP prolyl isomerase 2
MIR205,microRNA 205
SNTA1,syntrophin alpha 1
NCAPD2,non-SMC condensin I complex subunit D2
TTC1,tetratricopeptide repeat domain 1
UROD,uroporphyrinogen decarboxylase
PIP4K2C,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma
HTR4,5-hydroxytryptamine receptor 4
GAN,gigaxonin
TRBV2,T cell receptor beta variable 2
CDC16,cell division cycle 16
GRWD1,glutamate rich WD repeat containing 1
CBWD1,COBW domain containing 1
ARHGEF5,Rho guanine nucleotide exchange factor 5
FAM86B3P,"family with sequence similarity 86 member B3, pseudogene"
TOX4,TOX high mobility group box family member 4
RPS15,ribosomal protein S15
TRADD,TNFRSF1A associated via death domain
SLC1A6,solute carrier family 1 member 6
TARS2,"threonyl-tRNA synthetase 2, mitochondrial"
SLC12A2,solute carrier family 12 member 2
CDK5RAP2,CDK5 regulatory subunit associated protein 2
SEC24B,"SEC24 homolog B, COPII coat complex component"
DDAH2,dimethylarginine dimethylaminohydrolase 2
LRRC15,leucine rich repeat containing 15
EREG,epiregulin
CLU,clusterin
CPNE3,copine 3
MAFG,MAF bZIP transcription factor G
RAB34,"RAB34, member RAS oncogene family"
USP1,ubiquitin specific peptidase 1
RPL30,ribosomal protein L30
NADSYN1,NAD synthetase 1
MIS12,MIS12 kinetochore complex component
RPL10L,ribosomal protein L10 like
PPAN,peter pan homolog
DNAJB5,DnaJ heat shock protein family (Hsp40) member B5
CXCR3,C-X-C motif chemokine receptor 3
TCF4,transcription factor 4
PIK3R5,phosphoinositide-3-kinase regulatory subunit 5
CHD5,chromodomain helicase DNA binding protein 5
CCDC180,coiled-coil domain containing 180
CUL3,cullin 3
DDX50,DExD-box helicase 50
GLRX3,glutaredoxin 3
SPEF2,sperm flagellar 2
RING1,ring finger protein 1
TMEM70,transmembrane protein 70
PITX3,paired like homeodomain 3
SRPK1,SRSF protein kinase 1
MIR92A2,microRNA 92a-2
SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"
NOC2L,NOC2 like nucleolar associated transcriptional repressor
CHEK1,checkpoint kinase 1
RARB,retinoic acid receptor beta
NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit"
CCDC8,coiled-coil domain containing 8
BSG,basigin (Ok blood group)
HSD17B4,hydroxysteroid 17-beta dehydrogenase 4
AP1M1,adaptor related protein complex 1 subunit mu 1
PTPRC,protein tyrosine phosphatase receptor type C
BARD1,BRCA1 associated RING domain 1
HOXD8,homeobox D8
HIPK1,homeodomain interacting protein kinase 1
LCOR,ligand dependent nuclear receptor corepressor
NR5A1,nuclear receptor subfamily 5 group A member 1
MAGEH1,MAGE family member H1
TP53AIP1,tumor protein p53 regulated apoptosis inducing protein 1
CMSS1,cms1 ribosomal small subunit homolog
SGSM3,small G protein signaling modulator 3
DAG1,dystroglycan 1
SOX3,SRY-box transcription factor 3
ALB,albumin
RAP2B,"RAP2B, member of RAS oncogene family"
KLK3,kallikrein related peptidase 3
MYOT,myotilin
BMPR1A,bone morphogenetic protein receptor type 1A
KRTAP10-1,keratin associated protein 10-1
UFM1,ubiquitin fold modifier 1
RNF20,ring finger protein 20
SAMD7,sterile alpha motif domain containing 7
ACP1,acid phosphatase 1
CXCL12,C-X-C motif chemokine ligand 12
USP42,ubiquitin specific peptidase 42
DYNC1H1,dynein cytoplasmic 1 heavy chain 1
RBM15,RNA binding motif protein 15
GLMN,"glomulin, FKBP associated protein"
STYX,serine/threonine/tyrosine interacting protein
ATG7,autophagy related 7
ASXL2,ASXL transcriptional regulator 2
ABCF2,ATP binding cassette subfamily F member 2
ALDH7A1,aldehyde dehydrogenase 7 family member A1
GATA2,GATA binding protein 2
DDX11L8,DEAD/H-box helicase 11 like 8
PPIAP22,peptidylprolyl isomerase A pseudogene 22
EIF2S3,eukaryotic translation initiation factor 2 subunit gamma
MCM7,minichromosome maintenance complex component 7
VPS53,VPS53 subunit of GARP complex
DHRS2,dehydrogenase/reductase 2
IFRD1,interferon related developmental regulator 1
DAXX,death domain associated protein
ANKRD40,ankyrin repeat domain 40
NABP1,nucleic acid binding protein 1
GPATCH2,G-patch domain containing 2
ESS2,ess-2 splicing factor homolog
HPCA,hippocalcin
CCR5,C-C motif chemokine receptor 5 (gene/pseudogene)
MMP2,matrix metallopeptidase 2
GIPC1,GIPC PDZ domain containing family member 1
NFYB,nuclear transcription factor Y subunit beta
PIR,pirin
MTM1,myotubularin 1
PPAT,phosphoribosyl pyrophosphate amidotransferase
AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
PIN1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1"
SH2D3C,SH2 domain containing 3C
SPATA7,spermatogenesis associated 7
NEDD4,NEDD4 E3 ubiquitin protein ligase
KATNBL1,katanin regulatory subunit B1 like 1
PDLIM2,PDZ and LIM domain 2
RAB7A,"RAB7A, member RAS oncogene family"
DIABLO,diablo IAP-binding mitochondrial protein
GOT1,glutamic-oxaloacetic transaminase 1
GAPDH,glyceraldehyde-3-phosphate dehydrogenase
BRAF,"B-Raf proto-oncogene, serine/threonine kinase"
SCARNA22,small Cajal body-specific RNA 22
USP39,ubiquitin specific peptidase 39
FGFR1,fibroblast growth factor receptor 1
MEOX2,mesenchyme homeobox 2
CENPL,centromere protein L
MAPK6,mitogen-activated protein kinase 6
TOM1L1,target of myb1 like 1 membrane trafficking protein
DHRS4,dehydrogenase/reductase 4
MIR106A,microRNA 106a
HOXA9,homeobox A9
TOR1AIP2,torsin 1A interacting protein 2
IWS1,"interacts with SUPT6H, CTD assembly factor 1"
MTDH,metadherin
ENGASE,endo-beta-N-acetylglucosaminidase
CNMD,chondromodulin
CPM,carboxypeptidase M
POLR2C,RNA polymerase II subunit C
SMO,"smoothened, frizzled class receptor"
PTPRZ1,protein tyrosine phosphatase receptor type Z1
SUPT4H1,"SPT4 homolog, DSIF elongation factor subunit"
SSB,small RNA binding exonuclease protection factor La
HAUS4,HAUS augmin like complex subunit 4
SNX27,sorting nexin 27
FEN1,flap structure-specific endonuclease 1
EPHA3,EPH receptor A3
FLG2,filaggrin family member 2
SESN2,sestrin 2
ATAD1,ATPase family AAA domain containing 1
FLCN,folliculin
SRM,spermidine synthase
DAZAP2,DAZ associated protein 2
FAM110B,family with sequence similarity 110 member B
CRYL1,crystallin lambda 1
SH3GL1,"SH3 domain containing GRB2 like 1, endophilin A2"
FUBP3,far upstream element binding protein 3
YWHAG,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
NUBP2,nucleotide binding protein 2
SCD,stearoyl-CoA desaturase
FASN,fatty acid synthase
KANK2,KN motif and ankyrin repeat domains 2
NCBP1,nuclear cap binding protein subunit 1
HDAC8,histone deacetylase 8
NPIPB13,"nuclear pore complex interacting protein family, member B13"
TMEM159,transmembrane protein 159
MAPT,microtubule associated protein tau
LRP1,LDL receptor related protein 1
REV1,REV1 DNA directed polymerase
IRF2BPL,interferon regulatory factor 2 binding protein like
SOX10,SRY-box transcription factor 10
CHFR,checkpoint with forkhead and ring finger domains
NKIRAS1,NFKB inhibitor interacting Ras like 1
SEC24D,"SEC24 homolog D, COPII coat complex component"
STARD13,StAR related lipid transfer domain containing 13
BMI1,"BMI1 proto-oncogene, polycomb ring finger"
HSD17B12,hydroxysteroid 17-beta dehydrogenase 12
VRK3,VRK serine/threonine kinase 3
DBR1,debranching RNA lariats 1
CBR4,carbonyl reductase 4
RPS6KB1,ribosomal protein S6 kinase B1
RPL18A,ribosomal protein L18a
TAF5,TATA-box binding protein associated factor 5
TRABD,TraB domain containing
GALC,galactosylceramidase
TCEAL9,transcription elongation factor A like 9
PDHB,pyruvate dehydrogenase E1 subunit beta
HCK,"HCK proto-oncogene, Src family tyrosine kinase"
WWP2,WW domain containing E3 ubiquitin protein ligase 2
RPL8,ribosomal protein L8
TNF,tumor necrosis factor
CD44,CD44 molecule (Indian blood group)
RPL27,ribosomal protein L27
HSPA4,heat shock protein family A (Hsp70) member 4
LIMS1,LIM zinc finger domain containing 1
RPS27A,ribosomal protein S27a
DSG2,desmoglein 2
RALYL,RALY RNA binding protein like
TP53I3,tumor protein p53 inducible protein 3
NFIC,nuclear factor I C
ZBTB48,zinc finger and BTB domain containing 48
TDP2,tyrosyl-DNA phosphodiesterase 2
PRRC1,proline rich coiled-coil 1
HNRNPDL,heterogeneous nuclear ribonucleoprotein D like
EAF2,ELL associated factor 2
MRPS14,mitochondrial ribosomal protein S14
ARHGEF12,Rho guanine nucleotide exchange factor 12
TBKBP1,TBK1 binding protein 1
SETDB1,SET domain bifurcated histone lysine methyltransferase 1
STK17B,serine/threonine kinase 17b
AURKB,aurora kinase B
LARP7,"La ribonucleoprotein 7, transcriptional regulator"
NUP160,nucleoporin 160
MIR9-2,microRNA 9-2
CCNE2,cyclin E2
CDX2,caudal type homeobox 2
LMNB1,lamin B1
KDM5B,lysine demethylase 5B
BNIP2,BCL2 interacting protein 2
ANGPTL4,angiopoietin like 4
MATK,megakaryocyte-associated tyrosine kinase
RNF14,ring finger protein 14
NEFL,neurofilament light
SFN,stratifin
IRAK1,interleukin 1 receptor associated kinase 1
FBLN1,fibulin 1
FABP4,fatty acid binding protein 4
TNFSF8,TNF superfamily member 8
AP1S2,adaptor related protein complex 1 subunit sigma 2
CNR1,cannabinoid receptor 1
ADNP,activity dependent neuroprotector homeobox
SMPDL3A,sphingomyelin phosphodiesterase acid like 3A
CSF2RA,colony stimulating factor 2 receptor subunit alpha
ITIH4,inter-alpha-trypsin inhibitor heavy chain 4
FGR,"FGR proto-oncogene, Src family tyrosine kinase"
DENND4A,DENN domain containing 4A
JUP,junction plakoglobin
YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
TTC29,tetratricopeptide repeat domain 29
ZNF106,zinc finger protein 106
PAGR1,PAXIP1 associated glutamate rich protein 1
RBM25,RNA binding motif protein 25
RAB8B,"RAB8B, member RAS oncogene family"
CCL27,C-C motif chemokine ligand 27
PTPN13,protein tyrosine phosphatase non-receptor type 13
ATXN1,ataxin 1
OAF,out at first homolog
GPS1,G protein pathway suppressor 1
HINT1,histidine triad nucleotide binding protein 1
CCNDBP1,cyclin D1 binding protein 1
POF1B,POF1B actin binding protein
COG7,component of oligomeric golgi complex 7
VAPA,VAMP associated protein A
CDC14A,cell division cycle 14A
SOCS3,suppressor of cytokine signaling 3
FOXO4,forkhead box O4
CD82,CD82 molecule
PTPRU,protein tyrosine phosphatase receptor type U
ING2,inhibitor of growth family member 2
HMGB2,high mobility group box 2
CASP2,caspase 2
UBAP2L,ubiquitin associated protein 2 like
SARNP,SAP domain containing ribonucleoprotein
STAT6,signal transducer and activator of transcription 6
HOOK2,hook microtubule tethering protein 2
STAMBP,STAM binding protein
GIT2,GIT ArfGAP 2
DDX58,DExD/H-box helicase 58
YKT6,YKT6 v-SNARE homolog
NDUFB5,NADH:ubiquinone oxidoreductase subunit B5
LATS2,large tumor suppressor kinase 2
CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase
CCL18,C-C motif chemokine ligand 18
ASAH1,N-acylsphingosine amidohydrolase 1
CDK4,cyclin dependent kinase 4
HEPH,hephaestin
NFAT5,nuclear factor of activated T cells 5
JAK1,Janus kinase 1
ZFYVE28,zinc finger FYVE-type containing 28
SMARCD2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2"
OSMR,oncostatin M receptor
PARP9,poly(ADP-ribose) polymerase family member 9
USP18,ubiquitin specific peptidase 18
ZNRD1,zinc ribbon domain containing 1
ASB2,ankyrin repeat and SOCS box containing 2
ATP1A1,ATPase Na+/K+ transporting subunit alpha 1
PITX2,paired like homeodomain 2
SMAD3,SMAD family member 3
ARRDC3,arrestin domain containing 3
TMBIM4,transmembrane BAX inhibitor motif containing 4
CLPX,caseinolytic mitochondrial matrix peptidase chaperone subunit X
PTK6,protein tyrosine kinase 6
GLP1R,glucagon like peptide 1 receptor
ZNF628,zinc finger protein 628
MAPKAP1,MAPK associated protein 1
IL15RA,interleukin 15 receptor subunit alpha
H19,H19 imprinted maternally expressed transcript
DAD1,defender against cell death 1
CAND1,cullin associated and neddylation dissociated 1
CEND1,cell cycle exit and neuronal differentiation 1
MIR122,microRNA 122
TRAF7,TNF receptor associated factor 7
PC,pyruvate carboxylase
TEAD2,TEA domain transcription factor 2
S100A8,S100 calcium binding protein A8
ZDHHC23,zinc finger DHHC-type palmitoyltransferase 23
PDAP1,PDGFA associated protein 1
CIB3,calcium and integrin binding family member 3
FAM66E,family with sequence similarity 66 member E
HBD,hemoglobin subunit delta
FCAMR,Fc fragment of IgA and IgM receptor
POGZ,pogo transposable element derived with ZNF domain
SCYL2,SCY1 like pseudokinase 2
TMED7,transmembrane p24 trafficking protein 7
CDK3,cyclin dependent kinase 3
TGM5,transglutaminase 5
PDLIM7,PDZ and LIM domain 7
STT3B,STT3 oligosaccharyltransferase complex catalytic subunit B
ZNF460,zinc finger protein 460
RBM26,RNA binding motif protein 26
UCHL3,ubiquitin C-terminal hydrolase L3
LRPPRC,leucine rich pentatricopeptide repeat containing
DTNBP1,dystrobrevin binding protein 1
AZGP1,"alpha-2-glycoprotein 1, zinc-binding"
MIR138-1,microRNA 138-1
LONP1,"lon peptidase 1, mitochondrial"
STAU1,staufen double-stranded RNA binding protein 1
RRAS,RAS related
MAP4K5,mitogen-activated protein kinase kinase kinase kinase 5
CD2AP,CD2 associated protein
SLC4A1AP,solute carrier family 4 member 1 adaptor protein
SHC1,SHC adaptor protein 1
PRRC2A,proline rich coiled-coil 2A
SEC23IP,SEC23 interacting protein
SYK,spleen associated tyrosine kinase
RPL41,ribosomal protein L41
LRRTM4,leucine rich repeat transmembrane neuronal 4
HNF1B,HNF1 homeobox B
UQCRB,ubiquinol-cytochrome c reductase binding protein
TANK,TRAF family member associated NFKB activator
TXLNB,taxilin beta
TUBA4A,tubulin alpha 4a
SNAI1,snail family transcriptional repressor 1
MIRLET7G,microRNA let-7g
BCL2L2,BCL2 like 2
YBX1,Y-box binding protein 1
ITGB5,integrin subunit beta 5
NFKB1,nuclear factor kappa B subunit 1
F2RL1,F2R like trypsin receptor 1
POLA2,"DNA polymerase alpha 2, accessory subunit"
EBF4,EBF family member 4
PROP1,PROP paired-like homeobox 1
CBX2,chromobox 2
RTRAF,"RNA transcription, translation and transport factor"
ORC3,origin recognition complex subunit 3
FCN1,ficolin 1
ACOT13,acyl-CoA thioesterase 13
NMT2,N-myristoyltransferase 2
SRPK2,SRSF protein kinase 2
RC3H2,ring finger and CCCH-type domains 2
PFDN6,prefoldin subunit 6
QDPR,quinoid dihydropteridine reductase
PKP3,plakophilin 3
ALDH4A1,aldehyde dehydrogenase 4 family member A1
ATF7IP,activating transcription factor 7 interacting protein
F13A1,coagulation factor XIII A chain
RIT1,Ras like without CAAX 1
RFFL,ring finger and FYVE like domain containing E3 ubiquitin protein ligase
IP6K2,inositol hexakisphosphate kinase 2
KIAA1217,KIAA1217
KRT1,keratin 1
HSPB3,heat shock protein family B (small) member 3
COQ2,"coenzyme Q2, polyprenyltransferase"
CTSL,cathepsin L
ITIH2,inter-alpha-trypsin inhibitor heavy chain 2
ZNF420,zinc finger protein 420
LRP2,LDL receptor related protein 2
KRT72,keratin 72
EIF4B,eukaryotic translation initiation factor 4B
SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
MAT2A,methionine adenosyltransferase 2A
CXCL9,C-X-C motif chemokine ligand 9
MYBBP1A,MYB binding protein 1a
PPP6C,protein phosphatase 6 catalytic subunit
CCAR2,cell cycle and apoptosis regulator 2
GEMIN6,gem nuclear organelle associated protein 6
TMED9,transmembrane p24 trafficking protein 9
ZEB1,zinc finger E-box binding homeobox 1
MED19,mediator complex subunit 19
HBA1,hemoglobin subunit alpha 1
CCDC155,coiled-coil domain containing 155
MED7,mediator complex subunit 7
TMEM175,transmembrane protein 175
MATR3,matrin 3
PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"
ITCH,itchy E3 ubiquitin protein ligase
FLG,filaggrin
HMGA2,high mobility group AT-hook 2
RAD9A,RAD9 checkpoint clamp component A
SMAD5,SMAD family member 5
DSTN,"destrin, actin depolymerizing factor"
SIGLEC1,sialic acid binding Ig like lectin 1
AHR,aryl hydrocarbon receptor
CDKN2D,cyclin dependent kinase inhibitor 2D
ECT2,epithelial cell transforming 2
KDM4B,lysine demethylase 4B
TOR4A,torsin family 4 member A
NPM1,nucleophosmin 1
FGF11,fibroblast growth factor 11
SUPT16H,"SPT16 homolog, facilitates chromatin remodeling subunit"
TFPI,tissue factor pathway inhibitor
ZNF302,zinc finger protein 302
KIT,"KIT proto-oncogene, receptor tyrosine kinase"
SNX2,sorting nexin 2
MYOC,myocilin
MRPL16,mitochondrial ribosomal protein L16
POLDIP3,DNA polymerase delta interacting protein 3
IFNGR1,interferon gamma receptor 1
NPLOC4,"NPL4 homolog, ubiquitin recognition factor"
SFXN2,sideroflexin 2
NPR2,natriuretic peptide receptor 2
ACTR3,actin related protein 3
SPAG7,sperm associated antigen 7
VIM,vimentin
LZTR1,leucine zipper like transcription regulator 1
SUSD1,sushi domain containing 1
TRAK1,trafficking kinesin protein 1
HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
SERPINA7,serpin family A member 7
CPT1B,carnitine palmitoyltransferase 1B
S100A4,S100 calcium binding protein A4
RAB2A,"RAB2A, member RAS oncogene family"
PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent 1D"
DOK4,docking protein 4
APLP1,amyloid beta precursor like protein 1
ATP6V1G3,ATPase H+ transporting V1 subunit G3
TMED1,transmembrane p24 trafficking protein 1
BOC,"BOC cell adhesion associated, oncogene regulated"
RPL12,ribosomal protein L12
PKN1,protein kinase N1
COL9A3,collagen type IX alpha 3 chain
LARP1,"La ribonucleoprotein 1, translational regulator"
RSU1,Ras suppressor protein 1
PARVB,parvin beta
ETV1,ETS variant transcription factor 1
PSMC6,"proteasome 26S subunit, ATPase 6"
PINX1,PIN2 (TERF1) interacting telomerase inhibitor 1
GLUD1,glutamate dehydrogenase 1
SLC4A1,solute carrier family 4 member 1 (Diego blood group)
RGPD6,RANBP2 like and GRIP domain containing 6
BFSP1,beaded filament structural protein 1
SNRPA1,small nuclear ribonucleoprotein polypeptide A'
RNF168,ring finger protein 168
RAD23B,"RAD23 homolog B, nucleotide excision repair protein"
SEC24C,"SEC24 homolog C, COPII coat complex component"
AMD1,adenosylmethionine decarboxylase 1
TAF1A,"TATA-box binding protein associated factor, RNA polymerase I subunit A"
BTK,Bruton tyrosine kinase
USO1,USO1 vesicle transport factor
JMJD8,jumonji domain containing 8
FABP5,fatty acid binding protein 5
SH3GL2,"SH3 domain containing GRB2 like 2, endophilin A1"
LIME1,Lck interacting transmembrane adaptor 1
TERF2IP,TERF2 interacting protein
EXOC8,exocyst complex component 8
SRPX2,sushi repeat containing protein X-linked 2
PIK3R2,phosphoinositide-3-kinase regulatory subunit 2
CLSTN1,calsyntenin 1
MOV10,Mov10 RISC complex RNA helicase
HMGXB3,HMG-box containing 3
NDUFA4,NDUFA4 mitochondrial complex associated
ATP6V1H,ATPase H+ transporting V1 subunit H
ULK2,unc-51 like autophagy activating kinase 2
TDG,thymine DNA glycosylase
PEF1,penta-EF-hand domain containing 1
CD109,CD109 molecule
MIR93,microRNA 93
PPP4R2,protein phosphatase 4 regulatory subunit 2
DNAJC5,DnaJ heat shock protein family (Hsp40) member C5
IGHA1,immunoglobulin heavy constant alpha 1
CTBP1,C-terminal binding protein 1
ISL1,ISL LIM homeobox 1
ATP4A,ATPase H+/K+ transporting subunit alpha
CWC22,CWC22 spliceosome associated protein homolog
HEPACAM2,HEPACAM family member 2
LAMB3,laminin subunit beta 3
TNFRSF14,TNF receptor superfamily member 14
FERMT1,fermitin family member 1
SNCA,synuclein alpha
NOC4L,nucleolar complex associated 4 homolog
E2F4,E2F transcription factor 4
EIF3I,eukaryotic translation initiation factor 3 subunit I
AKR7A2,aldo-keto reductase family 7 member A2
LCA5,lebercilin LCA5
GNB4,G protein subunit beta 4
SSBP3,single stranded DNA binding protein 3
RNF115,ring finger protein 115
JPT1,Jupiter microtubule associated homolog 1
MIR29C,microRNA 29c
SERBP1,SERPINE1 mRNA binding protein 1
ESCO2,establishment of sister chromatid cohesion N-acetyltransferase 2
CD58,CD58 molecule
UBE2D2,ubiquitin conjugating enzyme E2 D2
CBX1,chromobox 1
AFDN,"afadin, adherens junction formation factor"
CNOT9,CCR4-NOT transcription complex subunit 9
PTPN20,protein tyrosine phosphatase non-receptor type 20
SUV39H1,suppressor of variegation 3-9 homolog 1
EDC4,enhancer of mRNA decapping 4
SNRNP35,small nuclear ribonucleoprotein U11/U12 subunit 35
FAF1,Fas associated factor 1
KRTAP15-1,keratin associated protein 15-1
PRKD2,protein kinase D2
PRPF38B,pre-mRNA processing factor 38B
PELO,pelota mRNA surveillance and ribosome rescue factor
IVL,involucrin
ERRFI1,ERBB receptor feedback inhibitor 1
RPL35A,ribosomal protein L35a
ABCB5,ATP binding cassette subfamily B member 5
DDB1,damage specific DNA binding protein 1
ZNF518A,zinc finger protein 518A
CEP250,centrosomal protein 250
RUNX2,RUNX family transcription factor 2
STIL,STIL centriolar assembly protein
ITK,IL2 inducible T cell kinase
THOC5,THO complex 5
TIAL1,TIA1 cytotoxic granule associated RNA binding protein like 1
S100A11,S100 calcium binding protein A11
GTF2F1,general transcription factor IIF subunit 1
PCBP2,poly(rC) binding protein 2
RNF181,ring finger protein 181
AP2B1,adaptor related protein complex 2 subunit beta 1
SYBU,syntabulin
ASPM,assembly factor for spindle microtubules
IDS,iduronate 2-sulfatase
NDC1,NDC1 transmembrane nucleoporin
CACNA1A,calcium voltage-gated channel subunit alpha1 A
ATP6V0A2,ATPase H+ transporting V0 subunit a2
HIP1R,huntingtin interacting protein 1 related
ACSL3,acyl-CoA synthetase long chain family member 3
IL1A,interleukin 1 alpha
SLAMF1,signaling lymphocytic activation molecule family member 1
ARNT,aryl hydrocarbon receptor nuclear translocator
FGFR2,fibroblast growth factor receptor 2
CBX6,chromobox 6
CLN6,CLN6 transmembrane ER protein
BLOC1S1,biogenesis of lysosomal organelles complex 1 subunit 1
KLK11,kallikrein related peptidase 11
PRKG1,protein kinase cGMP-dependent 1
TNFSF9,TNF superfamily member 9
MYL9,myosin light chain 9
RANBP10,RAN binding protein 10
TRPC4AP,transient receptor potential cation channel subfamily C member 4 associated protein
KPNA5,karyopherin subunit alpha 5
GNA13,G protein subunit alpha 13
SCNN1B,sodium channel epithelial 1 subunit beta
LGALS2,galectin 2
C6,complement C6
STX7,syntaxin 7
RALY,RALY heterogeneous nuclear ribonucleoprotein
MYCN,"MYCN proto-oncogene, bHLH transcription factor"
CDK5,cyclin dependent kinase 5
POLR1D,RNA polymerase I and III subunit D
PDP1,pyruvate dehyrogenase phosphatase catalytic subunit 1
HPDL,4-hydroxyphenylpyruvate dioxygenase like
RPS2,ribosomal protein S2
KIN,Kin17 DNA and RNA binding protein
ERBIN,erbb2 interacting protein
RNF31,ring finger protein 31
NEIL3,nei like DNA glycosylase 3
ARHGAP29,Rho GTPase activating protein 29
CDKN2A,cyclin dependent kinase inhibitor 2A
AP2S1,adaptor related protein complex 2 subunit sigma 1
MAPK3,mitogen-activated protein kinase 3
TRMT10C,"tRNA methyltransferase 10C, mitochondrial RNase P subunit"
NCOR1,nuclear receptor corepressor 1
PTPN5,protein tyrosine phosphatase non-receptor type 5
GZMB,granzyme B
RPL35,ribosomal protein L35
TAF10,TATA-box binding protein associated factor 10
CEP152,centrosomal protein 152
GRM4,glutamate metabotropic receptor 4
MAN2A2,mannosidase alpha class 2A member 2
TECR,"trans-2,3-enoyl-CoA reductase"
PNP,purine nucleoside phosphorylase
SHB,SH2 domain containing adaptor protein B
DNAJC13,DnaJ heat shock protein family (Hsp40) member C13
NECAP2,NECAP endocytosis associated 2
MIR21,microRNA 21
CDC5L,cell division cycle 5 like
RAD51C,RAD51 paralog C
EGR1,early growth response 1
PRKCI,protein kinase C iota
CXXC1,CXXC finger protein 1
CCDC102B,coiled-coil domain containing 102B
PPP2R5D,protein phosphatase 2 regulatory subunit B'delta
NOD2,nucleotide binding oligomerization domain containing 2
VDAC1,voltage dependent anion channel 1
NAPA,NSF attachment protein alpha
TLE3,"TLE family member 3, transcriptional corepressor"
TRIAP1,TP53 regulated inhibitor of apoptosis 1
ZMIZ2,zinc finger MIZ-type containing 2
ERCC3,"ERCC excision repair 3, TFIIH core complex helicase subunit"
GSTT1,glutathione S-transferase theta 1
ZBTB38,zinc finger and BTB domain containing 38
ARF4,ADP ribosylation factor 4
PTPRG,protein tyrosine phosphatase receptor type G
STAP1,signal transducing adaptor family member 1
PARP1,poly(ADP-ribose) polymerase 1
USP49,ubiquitin specific peptidase 49
SPRY4,sprouty RTK signaling antagonist 4
GART,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
CSNK1A1,casein kinase 1 alpha 1
NOS3,nitric oxide synthase 3
PLD3,phospholipase D family member 3
TRIM15,tripartite motif containing 15
NES,nestin
ZYX,zyxin
GSTM4,glutathione S-transferase mu 4
HRG,histidine rich glycoprotein
PTPN23,protein tyrosine phosphatase non-receptor type 23
ATL2,atlastin GTPase 2
MPP1,membrane palmitoylated protein 1
PDHX,pyruvate dehydrogenase complex component X
MKNK1,MAPK interacting serine/threonine kinase 1
MLLT6,"MLLT6, PHD finger containing"
TWIST2,twist family bHLH transcription factor 2
HOMER1,homer scaffold protein 1
FLAD1,flavin adenine dinucleotide synthetase 1
